,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
4528,セントラルウェルネスクラブ上池袋,3,7,対象：男女,90,18,90,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4529,亜太三温暖,8,7,男性専用,105,7,90,23,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4530,天龍三温暖,6,5,男性専用,111.8,6.7,95,20,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4533,地蔵湯,2,4,対象：男女,60,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4534,天然温泉 万華の湯|日帰り温泉,0,4,対象：男女,90,12,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4536,藤の湯,2,1,対象：男女,88,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4538,エクシブ箱根離宮,1,2,対象：男女,90,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4540,ホテルテトラ八戸,1,1,男性専用,110,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4541,スポーツコミュニティ ダイナミック,0,1,対象：男女,96,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4542,ニューサトーンサウナ,12,8,男性専用,110,17,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,-
4543,ティップネス武庫之荘,0,0,対象：男女,90,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4546,冨美の湯,0,1,対象：男女,92,19,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4548,噴泉湯(休業中),0,0,男性専用,55,20,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4551,名水はだの 富士見の湯,6,8,対象：男女,87,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4552,さつまゴルフリゾート(旧インターナショナルゴルフリゾート京セラ),0,1,対象：男女,92,18.7,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4553,ホテルキャッスルプラザ多賀城,0,1,対象：男女,85,22,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
